date,year,severity_label,road_type_label,area_label,hour
2019-01-18 03:45:40.234023402,2019,Slight,Roundabout,Urban,20
2019-01-18 08:08:29.810981098,2019,Slight,Dual carriageway,Urban,23
2019-01-18 12:31:19.387938794,2019,Slight,Single carriageway,Rural,12
2019-01-18 16:54:08.964896489,2019,Slight,One way street,Urban,2
2019-01-18 21:16:58.541854185,2019,Slight,Single carriageway,Urban,15
2019-01-19 01:39:48.118811881,2019,Fatal,Single carriageway,Urban,20
2019-01-19 06:02:37.695769577,2019,Serious,One way street,Urban,23
2019-01-19 10:25:27.272727272,2019,Slight,Dual carriageway,Rural,13
2019-01-19 14:48:16.849684968,2019,Slight,One way street,Urban,22
2019-01-19 19:11:06.426642664,2019,Fatal,Roundabout,Rural,19
2019-01-19 23:33:56.003600360,2019,Serious,Dual carriageway,Rural,3
2019-01-20 03:56:45.580558055,2019,Slight,Single carriageway,Urban,15
2019-01-20 08:19:35.157515751,2019,Slight,Single carriageway,Urban,15
2019-01-20 12:42:24.734473447,2019,Slight,One way street,Rural,18
2019-01-20 17:05:14.311431143,2019,Slight,Roundabout,Rural,12
2019-01-20 21:28:03.888388839,2019,Serious,Single carriageway,Urban,17
2019-01-21 01:50:53.465346534,2019,Slight,Single carriageway,Rural,14
2019-01-21 06:13:43.042304230,2019,Slight,Single carriageway,Urban,6
2019-01-21 10:36:32.619261926,2019,Slight,Single carriageway,Urban,11
2019-01-21 14:59:22.196219622,2019,Slight,Roundabout,Urban,22
2019-01-21 19:22:11.773177317,2019,Slight,Single carriageway,Rural,20
2019-01-21 23:45:01.350135013,2019,Serious,Single carriageway,Urban,15
2019-01-22 04:07:50.927092709,2019,Serious,One way street,Urban,7
2019-01-22 08:30:40.504050405,2019,Slight,Single carriageway,Urban,4
2019-01-22 12:53:30.081008100,2019,Slight,Single carriageway,Urban,6
2019-01-22 17:16:19.657965796,2019,Slight,Single carriageway,Urban,7
2019-01-22 21:39:09.234923492,2019,Slight,Single carriageway,Rural,23
2019-01-23 02:01:58.811881188,2019,Slight,Single carriageway,Urban,12
2019-01-23 06:24:48.388838884,2019,Slight,Single carriageway,Rural,9
2019-01-23 10:47:37.965796579,2019,Slight,Single carriageway,Rural,21
2019-01-23 15:10:27.542754275,2019,Slight,Single carriageway,Rural,8
2019-01-23 19:33:17.119711971,2019,Slight,Single carriageway,Rural,19
2019-01-23 23:56:06.696669667,2019,Slight,Single carriageway,Urban,15
2019-01-24 04:18:56.273627362,2019,Slight,One way street,Urban,7
2019-01-24 08:41:45.850585058,2019,Slight,Single carriageway,Urban,23
2019-01-24 13:04:35.427542754,2019,Slight,Single carriageway,Urban,16
2019-01-24 17:27:25.004500450,2019,Slight,Roundabout,Urban,23
2019-01-24 21:50:14.581458145,2019,Serious,Single carriageway,Rural,0
2019-01-25 02:13:04.158415841,2019,Slight,Single carriageway,Rural,6
2019-01-25 06:35:53.735373537,2019,Slight,Roundabout,Urban,7
2019-01-25 10:58:43.312331233,2019,Slight,Single carriageway,Rural,16
2019-01-25 15:21:32.889288929,2019,Slight,Single carriageway,Urban,20
2019-01-25 19:44:22.466246624,2019,Fatal,Dual carriageway,Urban,2
2019-01-26 00:07:12.043204320,2019,Slight,Dual carriageway,Urban,3
2019-01-26 04:30:01.620162016,2019,Serious,Single carriageway,Urban,16
2019-01-26 08:52:51.197119712,2019,Slight,Single carriageway,Urban,8
2019-01-26 13:15:40.774077407,2019,Slight,Single carriageway,Urban,16
2019-01-26 17:38:30.351035103,2019,Slight,Roundabout,Urban,0
2019-01-26 22:01:19.927992799,2019,Serious,Single carriageway,Urban,12
2019-01-27 02:24:09.504950495,2019,Slight,Single carriageway,Rural,0
2019-01-27 06:46:59.081908191,2019,Slight,Single carriageway,Urban,22
2019-01-27 11:09:48.658865886,2019,Slight,One way street,Rural,3
2019-01-27 15:32:38.235823582,2019,Slight,Single carriageway,Urban,4
2019-01-27 19:55:27.812781278,2019,Slight,Single carriageway,Urban,2
2019-01-28 00:18:17.389738974,2019,Slight,Single carriageway,Urban,5
2019-01-28 04:41:06.966696669,2019,Slight,Dual carriageway,Rural,11
2019-01-28 09:03:56.543654365,2019,Serious,Single carriageway,Urban,14
2019-01-28 13:26:46.120612061,2019,Serious,Roundabout,Urban,21
2019-01-28 17:49:35.697569757,2019,Slight,Single carriageway,Rural,21
2019-01-28 22:12:25.274527452,2019,Slight,Single carriageway,Rural,2
2019-01-29 02:35:14.851485148,2019,Slight,Single carriageway,Rural,10
2019-01-29 06:58:04.428442844,2019,Slight,Single carriageway,Rural,20
2019-01-29 11:20:54.005400540,2019,Slight,Single carriageway,Urban,3
2019-01-29 15:43:43.582358236,2019,Slight,Dual carriageway,Rural,16
2019-01-29 20:06:33.159315931,2019,Slight,Single carriageway,Urban,10
2019-01-30 00:29:22.736273627,2019,Serious,Dual carriageway,Rural,4
2019-01-30 04:52:12.313231323,2019,Slight,Single carriageway,Urban,1
2019-01-30 09:15:01.890189019,2019,Serious,Single carriageway,Urban,6
2019-01-30 13:37:51.467146714,2019,Slight,Single carriageway,Urban,0
2019-01-30 18:00:41.044104410,2019,Slight,Single carriageway,Rural,4
2019-01-30 22:23:30.621062106,2019,Slight,Single carriageway,Urban,13
2019-01-31 02:46:20.198019802,2019,Slight,One way street,Rural,18
2019-01-31 07:09:09.774977497,2019,Serious,One way street,Urban,12
2019-01-31 11:31:59.351935193,2019,Serious,Roundabout,Urban,17
2019-01-31 15:54:48.928892889,2019,Slight,Roundabout,Urban,1
2019-01-31 20:17:38.505850585,2019,Fatal,Single carriageway,Urban,7
2019-02-01 00:40:28.082808281,2019,Slight,Single carriageway,Rural,15
2019-02-01 05:03:17.659765976,2019,Slight,Single carriageway,Rural,1
2019-02-01 09:26:07.236723672,2019,Slight,Roundabout,Urban,14
2019-02-01 13:48:56.813681368,2019,Serious,Single carriageway,Urban,4
2019-02-01 18:11:46.390639064,2019,Slight,Single carriageway,Urban,10
2019-02-01 22:34:35.967596759,2019,Slight,Dual carriageway,Rural,15
2019-02-02 02:57:25.544554455,2019,Slight,Single carriageway,Rural,23
2019-02-02 07:20:15.121512151,2019,Fatal,Dual carriageway,Rural,2
2019-02-02 11:43:04.698469847,2019,Serious,Single carriageway,Urban,13
2019-02-02 16:05:54.275427542,2019,Slight,Dual carriageway,Rural,12
2019-02-02 20:28:43.852385238,2019,Serious,Roundabout,Urban,1
2019-02-03 00:51:33.429342934,2019,Serious,Dual carriageway,Rural,14
2019-02-03 05:14:23.006300630,2019,Slight,Single carriageway,Rural,1
2019-02-03 09:37:12.583258326,2019,Slight,Single carriageway,Rural,16
2019-02-03 14:00:02.160216021,2019,Serious,Single carriageway,Urban,4
2019-02-03 18:22:51.737173717,2019,Slight,Single carriageway,Rural,3
2019-02-03 22:45:41.314131413,2019,Slight,Single carriageway,Urban,1
2019-02-04 03:08:30.891089109,2019,Slight,Single carriageway,Urban,11
2019-02-04 07:31:20.468046804,2019,Slight,Single carriageway,Rural,5
2019-02-04 11:54:10.045004500,2019,Slight,Single carriageway,Urban,11
2019-02-04 16:16:59.621962196,2019,Serious,One way street,Urban,21
2019-02-04 20:39:49.198919892,2019,Slight,Single carriageway,Rural,20
2019-02-05 01:02:38.775877588,2019,Slight,Single carriageway,Urban,18
2019-02-05 05:25:28.352835283,2019,Serious,Single carriageway,Urban,11
2019-02-05 09:48:17.929792979,2019,Slight,Single carriageway,Urban,2
2019-02-05 14:11:07.506750675,2019,Slight,One way street,Rural,9
2019-02-05 18:33:57.083708371,2019,Slight,Single carriageway,Urban,0
2019-02-05 22:56:46.660666066,2019,Serious,Dual carriageway,Urban,2
2019-02-06 03:19:36.237623762,2019,Slight,Dual carriageway,Urban,7
2019-02-06 07:42:25.814581458,2019,Slight,Roundabout,Rural,16
2019-02-06 12:05:15.391539154,2019,Serious,Dual carriageway,Urban,18
2019-02-06 16:28:04.968496849,2019,Fatal,Dual carriageway,Urban,14
2019-02-06 20:50:54.545454545,2019,Slight,Single carriageway,Rural,6
2019-02-07 01:13:44.122412241,2019,Slight,Single carriageway,Rural,17
2019-02-07 05:36:33.699369937,2019,Slight,Dual carriageway,Urban,23
2019-02-07 09:59:23.276327633,2019,Slight,Single carriageway,Rural,15
2019-02-07 14:22:12.853285328,2019,Slight,Single carriageway,Rural,18
2019-02-07 18:45:02.430243024,2019,Slight,Single carriageway,Urban,21
2019-02-07 23:07:52.007200720,2019,Slight,Single carriageway,Urban,17
2019-02-08 03:30:41.584158416,2019,Slight,Single carriageway,Urban,21
2019-02-08 07:53:31.161116111,2019,Slight,Single carriageway,Rural,7
2019-02-08 12:16:20.738073807,2019,Slight,Single carriageway,Rural,7
2019-02-08 16:39:10.315031503,2019,Slight,Single carriageway,Urban,4
2019-02-08 21:01:59.891989199,2019,Serious,Single carriageway,Rural,4
2019-02-09 01:24:49.468946894,2019,Slight,Dual carriageway,Rural,13
2019-02-09 05:47:39.045904590,2019,Slight,Single carriageway,Urban,22
2019-02-09 10:10:28.622862286,2019,Slight,Dual carriageway,Rural,5
2019-02-09 14:33:18.199819982,2019,Slight,Single carriageway,Rural,17
2019-02-09 18:56:07.776777678,2019,Serious,Single carriageway,Rural,1
2019-02-09 23:18:57.353735373,2019,Slight,Dual carriageway,Rural,23
2019-02-10 03:41:46.930693069,2019,Slight,Roundabout,Urban,12
2019-02-10 08:04:36.507650765,2019,Slight,Dual carriageway,Rural,11
2019-02-10 12:27:26.084608461,2019,Slight,Dual carriageway,Urban,8
2019-02-10 16:50:15.661566156,2019,Fatal,Dual carriageway,Rural,23
2019-02-10 21:13:05.238523852,2019,Slight,Dual carriageway,Rural,10
2019-02-11 01:35:54.815481548,2019,Serious,Dual carriageway,Rural,2
2019-02-11 05:58:44.392439244,2019,Slight,Dual carriageway,Rural,13
2019-02-11 10:21:33.969396939,2019,Slight,Single carriageway,Rural,14
2019-02-11 14:44:23.546354635,2019,Slight,Single carriageway,Urban,17
2019-02-11 19:07:13.123312331,2019,Slight,Single carriageway,Urban,11
2019-02-11 23:30:02.700270027,2019,Slight,Single carriageway,Urban,6
2019-02-12 03:52:52.277227723,2019,Slight,Dual carriageway,Rural,0
2019-02-12 08:15:41.854185418,2019,Fatal,Single carriageway,Urban,23
2019-02-12 12:38:31.431143114,2019,Slight,Single carriageway,Urban,4
2019-02-12 17:01:21.008100810,2019,Serious,Dual carriageway,Urban,8
2019-02-12 21:24:10.585058506,2019,Serious,Single carriageway,Urban,3
2019-02-13 01:47:00.162016201,2019,Slight,Roundabout,Urban,5
2019-02-13 06:09:49.738973897,2019,Serious,Single carriageway,Rural,1
2019-02-13 10:32:39.315931593,2019,Slight,Single carriageway,Rural,8
2019-02-13 14:55:28.892889289,2019,Slight,Single carriageway,Urban,22
2019-02-13 19:18:18.469846984,2019,Serious,Single carriageway,Rural,5
2019-02-13 23:41:08.046804680,2019,Serious,Single carriageway,Urban,23
2019-02-14 04:03:57.623762376,2019,Slight,Single carriageway,Urban,15
2019-02-14 08:26:47.200720072,2019,Slight,Single carriageway,Urban,21
2019-02-14 12:49:36.777677768,2019,Slight,Single carriageway,Rural,14
2019-02-14 17:12:26.354635463,2019,Serious,Dual carriageway,Urban,23
2019-02-14 21:35:15.931593159,2019,Slight,Single carriageway,Urban,13
2019-02-15 01:58:05.508550855,2019,Slight,Single carriageway,Urban,19
2019-02-15 06:20:55.085508551,2019,Slight,Single carriageway,Urban,0
2019-02-15 10:43:44.662466246,2019,Slight,One way street,Urban,22
2019-02-15 15:06:34.239423942,2019,Slight,Dual carriageway,Urban,0
2019-02-15 19:29:23.816381638,2019,Serious,One way street,Rural,4
2019-02-15 23:52:13.393339334,2019,Slight,One way street,Urban,17
2019-02-16 04:15:02.970297029,2019,Slight,Single carriageway,Urban,6
2019-02-16 08:37:52.547254725,2019,Slight,Dual carriageway,Urban,1
2019-02-16 13:00:42.124212421,2019,Slight,Single carriageway,Urban,20
2019-02-16 17:23:31.701170117,2019,Serious,Roundabout,Rural,12
2019-02-16 21:46:21.278127813,2019,Slight,Single carriageway,Urban,11
2019-02-17 02:09:10.855085508,2019,Slight,Single carriageway,Urban,7
2019-02-17 06:32:00.432043204,2019,Slight,One way street,Rural,17
2019-02-17 10:54:50.009000900,2019,Slight,Roundabout,Rural,7
2019-02-17 15:17:39.585958596,2019,Serious,One way street,Urban,13
2019-02-17 19:40:29.162916291,2019,Slight,Single carriageway,Urban,3
2019-02-18 00:03:18.739873987,2019,Slight,Single carriageway,Rural,7
2019-02-18 04:26:08.316831683,2019,Serious,Single carriageway,Rural,0
2019-02-18 08:48:57.893789379,2019,Slight,Single carriageway,Rural,6
2019-02-18 13:11:47.470747074,2019,Slight,Single carriageway,Urban,9
2019-02-18 17:34:37.047704770,2019,Slight,Single carriageway,Rural,17
2019-02-18 21:57:26.624662466,2019,Slight,Dual carriageway,Urban,19
2019-02-19 02:20:16.201620162,2019,Slight,Single carriageway,Urban,12
2019-02-19 06:43:05.778577858,2019,Slight,Dual carriageway,Rural,22
2019-02-19 11:05:55.355535553,2019,Slight,Roundabout,Rural,8
2019-02-19 15:28:44.932493249,2019,Slight,Dual carriageway,Urban,11
2019-02-19 19:51:34.509450945,2019,Slight,Single carriageway,Urban,14
2019-02-20 00:14:24.086408641,2019,Slight,Single carriageway,Rural,4
2019-02-20 04:37:13.663366336,2019,Slight,Single carriageway,Urban,10
2019-02-20 09:00:03.240324032,2019,Slight,Dual carriageway,Urban,21
2019-02-20 13:22:52.817281728,2019,Slight,Single carriageway,Urban,11
2019-02-20 17:45:42.394239424,2019,Serious,Single carriageway,Urban,22
2019-02-20 22:08:31.971197119,2019,Serious,One way street,Rural,16
2019-02-21 02:31:21.548154815,2019,Slight,Dual carriageway,Urban,4
2019-02-21 06:54:11.125112511,2019,Slight,Roundabout,Urban,10
2019-02-21 11:17:00.702070207,2019,Slight,Single carriageway,Rural,8
2019-02-21 15:39:50.279027903,2019,Slight,One way street,Urban,22
2019-02-21 20:02:39.855985598,2019,Slight,Single carriageway,Urban,8
2019-02-22 00:25:29.432943294,2019,Slight,Single carriageway,Urban,11
2019-02-22 04:48:19.009900990,2019,Slight,Roundabout,Rural,16
2019-02-22 09:11:08.586858686,2019,Slight,Roundabout,Rural,23
2019-02-22 13:33:58.163816382,2019,Slight,Single carriageway,Rural,13
2019-02-22 17:56:47.740774077,2019,Slight,Single carriageway,Urban,20
2019-02-22 22:19:37.317731773,2019,Serious,Single carriageway,Rural,2
2019-02-23 02:42:26.894689469,2019,Slight,Dual carriageway,Urban,21
2019-02-23 07:05:16.471647165,2019,Serious,Roundabout,Urban,4
2019-02-23 11:28:06.048604860,2019,Slight,Single carriageway,Urban,18
2019-02-23 15:50:55.625562556,2019,Serious,Single carriageway,Urban,12
2019-02-23 20:13:45.202520252,2019,Serious,Dual carriageway,Urban,14
2019-02-24 00:36:34.779477948,2019,Fatal,Dual carriageway,Urban,2
2019-02-24 04:59:24.356435644,2019,Serious,Single carriageway,Rural,12
2019-02-24 09:22:13.933393339,2019,Serious,Single carriageway,Rural,2
2019-02-24 13:45:03.510351035,2019,Slight,One way street,Urban,13
2019-02-24 18:07:53.087308731,2019,Serious,Single carriageway,Rural,9
2019-02-24 22:30:42.664266427,2019,Slight,Single carriageway,Rural,4
2019-02-25 02:53:32.241224122,2019,Slight,Dual carriageway,Urban,11
2019-02-25 07:16:21.818181818,2019,Slight,Single carriageway,Rural,5
2019-02-25 11:39:11.395139514,2019,Serious,Roundabout,Rural,1
2019-02-25 16:02:00.972097210,2019,Slight,Dual carriageway,Urban,0
2019-02-25 20:24:50.549054905,2019,Slight,Single carriageway,Urban,8
2019-02-26 00:47:40.126012601,2019,Slight,Single carriageway,Urban,17
2019-02-26 05:10:29.702970297,2019,Slight,Dual carriageway,Rural,13
2019-02-26 09:33:19.279927993,2019,Slight,Single carriageway,Urban,2
2019-02-26 13:56:08.856885689,2019,Slight,Single carriageway,Urban,10
2019-02-26 18:18:58.433843384,2019,Slight,Single carriageway,Urban,13
2019-02-26 22:41:48.010801080,2019,Slight,Single carriageway,Urban,5
2019-02-27 03:04:37.587758776,2019,Slight,One way street,Urban,3
2019-02-27 07:27:27.164716472,2019,Slight,Dual carriageway,Rural,5
2019-02-27 11:50:16.741674167,2019,Slight,Roundabout,Urban,1
2019-02-27 16:13:06.318631863,2019,Slight,Single carriageway,Rural,5
2019-02-27 20:35:55.895589559,2019,Slight,Single carriageway,Urban,12
2019-02-28 00:58:45.472547255,2019,Slight,One way street,Urban,19
2019-02-28 05:21:35.049504950,2019,Serious,Single carriageway,Urban,20
2019-02-28 09:44:24.626462646,2019,Serious,Roundabout,Urban,16
2019-02-28 14:07:14.203420342,2019,Slight,Single carriageway,Rural,8
2019-02-28 18:30:03.780378038,2019,Slight,Single carriageway,Rural,22
2019-02-28 22:52:53.357335734,2019,Slight,Single carriageway,Urban,22
2019-03-01 03:15:42.934293429,2019,Serious,Single carriageway,Rural,8
2019-03-01 07:38:32.511251125,2019,Slight,Single carriageway,Rural,0
2019-03-01 12:01:22.088208821,2019,Serious,Single carriageway,Urban,10
2019-03-01 16:24:11.665166517,2019,Slight,Single carriageway,Urban,11
2019-03-01 20:47:01.242124212,2019,Slight,Single carriageway,Rural,16
2019-03-02 01:09:50.819081908,2019,Slight,Roundabout,Rural,3
2019-03-02 05:32:40.396039604,2019,Slight,Single carriageway,Urban,13
2019-03-02 09:55:29.972997300,2019,Slight,Roundabout,Urban,7
2019-03-02 14:18:19.549954995,2019,Slight,Single carriageway,Urban,11
2019-03-02 18:41:09.126912691,2019,Serious,Single carriageway,Urban,0
2019-03-02 23:03:58.703870387,2019,Slight,Single carriageway,Urban,12
2019-03-03 03:26:48.280828083,2019,Slight,One way street,Urban,0
2019-03-03 07:49:37.857785779,2019,Slight,Dual carriageway,Urban,20
2019-03-03 12:12:27.434743474,2019,Slight,One way street,Urban,17
2019-03-03 16:35:17.011701170,2019,Slight,Single carriageway,Urban,22
2019-03-03 20:58:06.588658866,2019,Serious,Dual carriageway,Urban,15
2019-03-04 01:20:56.165616562,2019,Slight,Dual carriageway,Urban,23
2019-03-04 05:43:45.742574257,2019,Fatal,One way street,Rural,5
2019-03-04 10:06:35.319531953,2019,Serious,Single carriageway,Rural,0
2019-03-04 14:29:24.896489649,2019,Slight,One way street,Urban,21
2019-03-04 18:52:14.473447345,2019,Serious,Single carriageway,Rural,15
2019-03-04 23:15:04.050405040,2019,Serious,Roundabout,Rural,16
2019-03-05 03:37:53.627362736,2019,Serious,Single carriageway,Urban,6
2019-03-05 08:00:43.204320432,2019,Slight,Single carriageway,Rural,8
2019-03-05 12:23:32.781278128,2019,Slight,Single carriageway,Urban,16
2019-03-05 16:46:22.358235824,2019,Slight,Roundabout,Urban,9
2019-03-05 21:09:11.935193519,2019,Slight,Single carriageway,Rural,1
2019-03-06 01:32:01.512151215,2019,Slight,Single carriageway,Urban,7
2019-03-06 05:54:51.089108911,2019,Slight,Single carriageway,Urban,9
2019-03-06 10:17:40.666066607,2019,Slight,Dual carriageway,Urban,19
2019-03-06 14:40:30.243024302,2019,Slight,Single carriageway,Urban,8
2019-03-06 19:03:19.819981998,2019,Slight,Dual carriageway,Urban,11
2019-03-06 23:26:09.396939694,2019,Serious,Single carriageway,Urban,14
2019-03-07 03:48:58.973897390,2019,Serious,Dual carriageway,Rural,3
2019-03-07 08:11:48.550855085,2019,Slight,Dual carriageway,Urban,13
2019-03-07 12:34:38.127812781,2019,Slight,Dual carriageway,Rural,4
2019-03-07 16:57:27.704770477,2019,Serious,Roundabout,Urban,21
2019-03-07 21:20:17.281728173,2019,Slight,Single carriageway,Urban,7
2019-03-08 01:43:06.858685869,2019,Slight,Single carriageway,Rural,7
2019-03-08 06:05:56.435643564,2019,Slight,Dual carriageway,Urban,9
2019-03-08 10:28:46.012601260,2019,Slight,Single carriageway,Urban,8
2019-03-08 14:51:35.589558956,2019,Slight,Single carriageway,Rural,14
2019-03-08 19:14:25.166516652,2019,Serious,Dual carriageway,Urban,17
2019-03-08 23:37:14.743474347,2019,Slight,Single carriageway,Urban,23
2019-03-09 04:00:04.320432043,2019,Slight,Single carriageway,Rural,21
2019-03-09 08:22:53.897389739,2019,Serious,One way street,Urban,6
2019-03-09 12:45:43.474347435,2019,Serious,Single carriageway,Urban,14
2019-03-09 17:08:33.051305130,2019,Slight,Single carriageway,Urban,7
2019-03-09 21:31:22.628262826,2019,Slight,Single carriageway,Urban,19
2019-03-10 01:54:12.205220522,2019,Slight,Single carriageway,Urban,0
2019-03-10 06:17:01.782178218,2019,Slight,Dual carriageway,Rural,23
2019-03-10 10:39:51.359135914,2019,Slight,Dual carriageway,Urban,8
2019-03-10 15:02:40.936093609,2019,Serious,Single carriageway,Rural,17
2019-03-10 19:25:30.513051305,2019,Slight,Single carriageway,Rural,16
